Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label,year,roa,margin_proxy,cost_to_income,loans_to_assets,deposits_to_assets,loan_to_deposit,cost_of_risk,log_assets,loan_growth,country,internet_banking,internet_frequent,internet_purchases,post2020,z_banking,z_freq,z_purchases,digital_index_2,digital_index_3,gdp_growth,unemployment,inflation,policy_rate
BBVA,2016,NA,43184,401465,74581,2086,6804,-3835,10648,27708,-9428,NA,17059,3475,10323,NA,731856,55428,24655,6.8,NPL,Non-performing loans and advances as a % of the total,2016,0.00474820183205439,0.02330923023108371,0.4186980328533766,NA,0.5485573664764654,NA,NA,13.5033390522798,NA,Spain,43.15,66.79,34.9,0,-0.5898707153974634,-0.6089238351675583,-0.6042238576000244,-0.5993972752825109,-0.6010061360550154,2.9,19.6,-0.3,-0.3795081967213115
BBVA,2017,11.7,42680,376379,63915,2229,7150,-4803,11537,29296,-6950,400369,17758,3519,11112,361686,690059,53283,25270,5.4,NPL,Non-performing loans and advances as a % of the total,2017,0.00509956395032888,0.02573403143789154,0.4397309062129007,0.5801953166323459,0.5454301733619878,1.0637389439899676,-0.0119964332902897,13.444532380164285,NA,Spain,46.18,68.98,40.02,0,-0.5824757709413354,-0.6063149422524767,-0.48918273166185633,-0.594395356596906,-0.5593244816185562,2.9,17.2,2,-0.4
BBVA,2018,11.6,58196,375970,61112,2253,7132,-3981,12239,29831,12493,386225,17591,5324,11702,348254,676689,52874,23747,3.9,NPL,NPL ratio (%),2018,0.00786772062202873,0.02599569373818696,0.4927780351202257,0.5707570242755534,0.5556023520405977,1.027276112455781,-0.01030746326623082,13.424967066731318,-0.03532741046384713,Spain,48.66,72.08,43.46,0,-0.5728190327652302,-0.5997239691610081,-0.3845705647201723,-0.5862715009631192,-0.5190378555488036,2.4,15.3,1.7,-0.4
BBVA,2019,11.98,44303,384219,63963,2489,7522,-4151,12859,31061,-12427,394763,18202,3512,11902,364448,698690,54925,24542,3.8,NPL,NPL ratio,2019,0.00502654968584064,0.02605161087177432,0.484964550566376,0.5650045084372183,0.5499134093804119,1.0274426824285108,-0.01051516986141051,13.45696243214386,0.02210628519645285,Spain,54.88,77.61,46.93,0,-0.4618013625347121,-0.3950172543921945,-0.4011253834239949,-0.42840930846345326,-0.4193146667836338,2,14.1,0.8,-0.42876712328767125
BBVA,2020,11.73,65520,409122,61780,1857,5980,-5179,7797,22389,-13133,378139,14592,1305,10755,364448,736176,50020,20166,4,NPL,NPL ratio,2020,0.00177267392580035,0.01982134706917911,0.5333234156501041,0.5136529851557237,0.55573938840712,0.9242695332932476,-0.01369602183324121,13.509224499558671,-0.04211134275502015,Spain,62.1,83.07,53.82,1,-0.2864040744285442,-0.14498173407942816,-0.2707394059744006,-0.21569290425398616,-0.234041738160791,-10.9,15.5,-0.3,-0.5
BBVA,2021,12.75,67799,349761,55763,2232,6997,-3034,8329,23015,-11116,330055,14686,4653,9530,307331,662885,48760,21066,4.1,NPL,NPL ratio (%),2021,0.00701931707611425,0.02215467237907027,0.452387733789044,0.4979068767584121,0.5276345067394796,0.9436586697773622,-0.00919240732605171,13.404356800126132,-0.12715958946313388,Spain,65.16,85.83,55.22,1,-0.26889743531136373,0.05526626910791344,-0.5251366068363928,-0.10681558310172516,-0.2462559243466144,6.7,14.9,3,-0.5
BBVA,2022,12.61,79756,393856,55429,2907,8261,-3379,12279,31432,11764,369260,19153,6420,10760,336920,713140,50615,24890,3.4,NPL,NPL Ratio,2022,0.00900243991362144,0.02685727907563732,0.4323021293692246,0.5177945424460835,0.5522842639593909,0.9375507799805004,-0.00915073390023289,13.477433033557803,0.11878323309751404,Spain,69.6,87.11,55.26,1,-0.14242709681311308,-0.0623965047645816,-0.4547978221928101,-0.10241180078884736,-0.2198738079235016,6.4,13,8.3,0.011643835616438355
BBVA,2023,12.67,75416,413487,77750,3611,9899,-4428,24761,47850,11762,388912,23089,8019,12309,363916,775558,55265,29542,3.4,NPL,NPL ratio,2023,0.01033965222459184,0.02977082307190436,0.41666102498138247,0.5014608836476446,0.5331477465257273,0.9405664506985708,-0.01138560908380302,13.561338049259833,0.05321995342035413,Spain,71.45,89.98,55.85,1,-0.195823660562381,0.13005334152954676,-0.5977829613484545,-0.03288515951641713,-0.22118442679376293,2.5,12.2,3.4,3.3075342465753423
BBVA,2024,12.84,51145,447646,69867,5048,13036,-5745,36392,61659,11905,424087,25267,10575,12660,370165,772402,60014,35481,3.3,NPL,NPL ratio,2024,0.0136910572473919,0.03271224051724361,0.3568106874101632,0.5490495881678193,0.5795505449234983,0.9473713604053204,-0.01354674866242068,13.557260418865097,0.0904446250051425,Spain,74.96,91.54,56.7,1,-0.13265766139414056,0.091414128001103,-0.7332829870375309,-0.02062176669651878,-0.25817550681018947,3.5,11.4,2.9,3.73224043715847
BNP Paribas,2015,11,134547,700309,159447,5720,13335,-3797,18828,41381,27676,708691,22553,7044,29254,629626,1994193,100077,42938,NA,NA,NA,2015,0.00353225590502022,0.01130933665898937,0.6813079323675998,0.3553773381011768,0.3511741340983546,1.011969002254719,-0.00535776523195581,14.505750015191149,NA,France,58.28,67.84,49.43,0,0.09647761510459192,-0.2714396877185338,0.35544317070441495,-0.08748103630697093,0.06016036603015769,1.1,10.3,0.1,-0.2063013698630137
