Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label
ING Groep,2021,15.89,106520,617296,91784,1487,5004,516,7499,21114,5368,632782,13615,4776,11192,313064,951290,54654,18490,1.3,Stage3,Stage 3 makes up ... of total gross carrying amounts
ING Groep,2022,14.5,87614,640770,95918,1499,5085,1861,14714,28470,6101,641490,13756,3674,11199,331520,967817,50413,18561,1.2,NPL,non-performing loans
ING Groep,2023,14.7,90214,650267,124670,1514,5109,520,36252,52227,5839,648023,15976,7287,11564,319169,975583,52184,22575,1.3,NPL,non-performing loans
ING Groep,2024,13.6,70353,691661,142367,1596,5604,1194,34889,58905,6049,686066,15023,6392,12121,333708,1020545,51309,22615,1.4,NPL,non-performing loans
Intesa Sanpaolo,2015,13,9344,255258,110144,1686,8735,-2824,4910,14148,-32101,382111,9238,2739,10025,284319,676496,48593,17149,9.5,NPL,Non-performing loans (as % of total loans to customers)
Intesa Sanpaolo,2016,12.7,8686,291876,94783,1730,8465,-3288,4250,12865,-30205,394918,8615,3111,8674,283918,725100,49319,16929,8.2,Other,non-performing assets as a percentage of total net loans to customers
Intesa Sanpaolo,2017,13.3,9353,323443,95038,2116,9544,-3288,3871,12398,-27505,438387,8527,7316,9210,286825,796861,56604,17443,6.2,Other,non-performing assets as a percentage of total net loans to customers
Intesa Sanpaolo,2018,13.5,10350,323386,92985,2308,9911,-2394,3144,10486,-22008,415558,7342,4050,10285,276446,787721,54024,17875,4.2,Other,non-performing assets as a percentage of total net loans to customers
Intesa Sanpaolo,2019,13.9,9745,414578,103316,2159,9658,-2089,3269,10193,NA,414037,6924,4182,9290,298524,816102,56203,18083,7.6,NPL,NPL to total loan ratios ... in gross book values
Intesa Sanpaolo,2020,14.7,9814,422365,91834,2334,10312,-4364,2451,10183,-12983,480682,7732,3277,9971,NA,1002614,66321,19023,NA,NA,NA
Intesa Sanpaolo,2021,12.8,10483,458239,86558,2723,12087,-2843,2480,10473,-14218,603649,7993,4185,12999,331732,1069003,64066,20918,1.6,NPL,Net non-performing loans / Loans to customers
Intesa Sanpaolo,2022,13.8,112924,454025,76079,2708,11285,-3113,3547,13232,-8508,558599,9685,4354,10934,295443,975683,61821,21470,1.2,NPL,Net non-performing loans / Loans to customers
Intesa Sanpaolo,2023,13.7,89270,440449,108428,2727,10528,-1416,15589,32525,NA,NA,16936,7724,12578,302110,963570,64127,25138,1.8,NPL,NPL ratio ... in gross terms
Intesa Sanpaolo,2024,13.9,40533,443457,110369,2781,11392,-1139,16512,34602,-7498,560388,18090,8666,11570,282109,933285,65321,27107,1.2,NPL,Net non-performing loans / Net loans to customers
Jyske Bank,2015,16.1,2825,144920,279393,414,2246,1372,5924,13628,6713,410030,7704,2476,5665,176904,543399,30040,10241,4.7,NPL,Non-performing loans and advances amounted to 4.7%
Jyske Bank,2016,16.5,2068,154648,322240,452,1980,201,5079,11652,5937,438592,6573,3116,5621,182195,586703,32514,9728,3.7,NPL,NPL ratio
Jyske Bank,2017,16.4,19347,160023,341521,426,2380,-179,4931,11219,5157,447673,6288,3143,6027,187998,597440,34604,9850,2.9,NPL,NPL ratio
Jyske Bank,2018,16.4,6081,148701,359763,471,2325,468,4678,10394,5607,487044,5716,2500,5415,188433,599947,34332,9023,1.5,NPL,NPL ratio
Jyske Bank,2019,17.4,9889,140235,395593,423,2734,-101,4727,10038,5227,502918,5311,2440,5495,181448,649738,35710,8473,1.4,NPL,NPL ratio
Jyske Bank,2020,17.9,34951,136953,412525,377,2468,968,3942,8992,5761,508309,5050,1609,5424,179426,672648,36632,8502,1,NPL,NPL ratio
Jyske Bank,2021,18.2,30685,134212,413465,455,2763,-218,3734,8776,5443,504100,5042,3176,5432,188181,647122,38266,9241,1.1,NPL,Share of non-performing loans (net)
Jyske Bank,2022,15.2,58519,208405,419591,479,3008,-605,5401,11298,4741,557383,5897,3752,5584,220921,749997,40624,9536,1.2,Stage3,"stage 3 loans amounted to 1.2% of loans, advances and guarantees"
Jyske Bank,2023,16.9,74737,218309,439428,501,3079,127,15325,24973,4972,571792,9648,5904,6844,225520,779675,45886,14859,1.1,Stage3,"stage 3 loans amounted to 1.1% of loans, advances and guarantees"
Jyske Bank,2024,17.6,37392,198860,428802,491,3228,21,16624,25980,4756,584177,9356,5312,6917,229519,750200,50588,14103,1.1,Other,"stage-3 loans amounted to 1.1% of loans, advances and guarantees"
KBC Group,2015,14.9,7038,170109,21463,670,2348,-747,2839,7150,5623,143400,4311,2639,3890,89067,252356,15811,7148,8.6,Impaired,Impaired loans ratio
KBC Group,2016,15.8,20148,177730,32659,651,2101,-201,2384,6642,-5094,147526,4258,2427,3948,87782,275200,17357,7211,7.2,Impaired,Impaired loans ratio
KBC Group,2017,16.3,29727,193968,41227,908,2615,30,2216,6337,4058,154160,4121,2575,4074,92410,292342,18803,7700,6,Impaired,Impaired loans ratio
KBC Group,2018,16,18691,194291,34648,737,2456,17,2453,6996,-3523,164824,4543,2570,4234,94875,283808,19633,7512,4.3,Impaired,Impaired loans ratio
KBC Group,2019,17.1,8356,203369,30185,741,2476,-217,2626,7244,-2855,175431,4618,2489,4303,99071,290735,20365,7629,3.5,Impaired,Impaired loans ratio
KBC Group,2020,17.6,24583,215430,24877,755,2365,-1182,1797,6264,-3695,180891,4467,1440,4156,102111,320743,21530,7195,3.3,Impaired,Impaired loans ratio
KBC Group,2021,15.5,40653,199476,26617,856,2692,334,1869,6320,-2573,188400,4451,2614,4396,104646,340346,23077,7558,2.9,Impaired,Impaired loans ratio
KBC Group,2022,15.3,51427,224407,28338,957,2804,-154,6064,11226,-2619,205720,5161,2743,4818,109981,355872,20807,8463,2.1,Impaired,Impaired loans ratio
KBC Group,2023,15.2,34530,216423,43068,642,2991,-215,14697,20170,-2474,202953,5473,3402,5125,113038,346921,24260,11224,2.1,Impaired,Impaired loans ratio
KBC Group,2024,15,46834,228747,43590,675,3253,-248,14172,19746,-2448,192067,5574,3415,5097,119945,373048,24311,11167,2,Impaired(APM),Impaired loans ratio (APM)
National Bank of Greece,2015,14.6,2208,42959,1106,256,349,-4263,654,2559,-12843,58218,1905,-4227,1301,NA,111232,9824,1972,NA,NA,NA
National Bank of Greece,2016,16.3,1501,40459,536,104,296,-809,342,2124,-11457,53100,1782,-2887,1169,NA,78531,7587,2064,NA,NA,NA
National Bank of Greece,2017,17,1778,40265,1026,69,309,-811,256,1807,-10239,48180,1551,-443,944,NA,64768,7379,1617,NA,NA,NA
National Bank of Greece,2018,16.1,5138,43027,1146,92,332,-312,243,1337,-9466,39600,1094,-84,921,NA,65095,5638,1320,NA,NA,NA
National Bank of Greece,2019,16,3502,43648,1365,100,355,-342,247,1433,-5757,34811,1186,-255,NA,NA,64248,5277,1681,NA,NA,NA
National Bank of Greece,2020,NA,9175,48504,910,108,364,-1106,206,1375,-2707,29445,1169,38,NA,NA,77485,5079,2522,NA,NA,NA
National Bank of Greece,2021,16.9,15827,53493,912,134,421,-78,149,1361,-1655,31747,1212,867,915,34700,83958,5772,1903,7,NPE,NPE ratio
National Bank of Greece,2022,16.6,14226,55192,1731,117,464,-280,152,1521,-1493,36555,1369,1120,805,36400,78113,6475,2355,5.2,NPE,NPE ratio
National Bank of Greece,2023,17.8,9015,57126,2323,80,462,-325,522,2785,-1083,34907,2263,1106,928,37700,74584,7652,2760,3.7,NPE,NPE ratio
National Bank of Greece,2024,18.3,5380,57593,3618,84,511,-225,696,3052,-895,37034,2356,1158,1053,37400,74957,8452,2885,2.6,NPE,NPE ratio
Nordea,2015,16.5,35500,193342,201937,1010,4035,-479,3439,8549,-2664,343582,5110,3662,4957,143294,646868,31032,10140,1.62,Impaired,"Impaired loans ratio, basis points"
Nordea,2016,18.4,32099,174028,191750,860,4098,-502,3020,7747,-2426,320113,4727,3766,4800,133157,615659,32410,9927,1.63,Impaired,"Impaired loans ratio, basis points"
Nordea,2017,19.5,43081,172434,179114,863,4232,-369,2909,7575,-2333,312490,4666,3048,5102,125779,581612,33316,9469,1.86,Impaired,"Impaired loans ratio, basis points"
Nordea,2018,15.5,41578,164958,190422,853,3846,-173,2929,7253,2163,236497,4324,3081,4879,155886,551408,32901,9005,1.82,Impaired,"Impaired loans ratio, basis points"
Nordea,2019,16.3,35509,168725,193726,920,3931,-536,3334,NA,2328,324909,4318,1542,5986,150215,554848,31528,8635,1.78,Impaired,"Impaired loans ratio, basis points"
Nordea,2020,17.1,32955,183431,174309,897,3856,-908,2013,NA,-2448,332209,4515,2265,4643,155440,552160,33740,8466,1.51,Stage3,"Impairment rate, (stage 3) gross, basis points"
Nordea,2021,17,47495,205801,175792,977,4472,-118,1167,NA,-2206,347253,4925,3831,4649,151906,570353,33503,9620,1.28,Stage3,"Impairment rate, (stage 3) gross, bp"
Nordea,2022,16.4,61815,217464,179803,942,4278,-112,3474,NA,-1673,347387,5664,3595,4903,145299,594844,31404,9796,0.81,Stage3,"Impairment rate, (stage 3) gross, bp"
Nordea,2023,17,50622,210062,182548,902,3923,-187,12278,NA,1825,346460,7451,4934,5238,138719,584702,31225,11743,0.89,Stage3,"Impairment ratio (stage 3), gross, bp"
Nordea,2024,15.8,46562,232435,188136,907,4064,-198,13486,NA,-1605,359183,7594,5059,5330,155850,623355,32436,12084,1.04,Stage3,"Impairment ratio (stage 3), gross, bp"
OP Financial Group,2015,19.5,8581,51941,27706,174,878,78,1460,2486,-494,75686,1026,853,1520,41824,125145,9324,2807,0.42,Other,"Ratio of receivables more than 90 days past due to loan and guarantee portfolio, %"
OP Financial Group,2016,20.1,9361,54822,28287,169,1028,77,1141,2200,-506,79111,1058,915,1567,44101,133747,10237,2989,3.2,Other,"Doubtful receivables / loan and guarantee portfolio, %"
OP Financial Group,2017,20.1,12937,57991,26841,145,1073,48,882,1975,-491,82731,1094,854,1773,49216,137242,11121,3115,3.4,Other,"Doubtful receivables / loan and guarantee portfolio, %"
OP Financial Group,2018,20.5,12350,61327,30456,125,1012,-46,805,1974,-525,87606,1175,794,1681,52126,140382,11835,2943,1,Other,"Ratio of non-performing receivables to loan and guarantee portfolio, %"
OP Financial Group,2019,19.5,11988,63998,34369,139,1075,-87,60,1310,-554,92017,1241,670,1903,55482,147024,12570,3181,1.1,Other,"Ratio of non-performing receivables to loan and guarantee portfolio, %"
OP Financial Group,2020,18.9,21827,70940,34706,123,1054,-225,58,1344,-662,94306,1284,641,1839,59720,160207,13112,3103,1.1,Other,"Non-performing receivables / loan and guarantee portfolio, %"
OP Financial Group,2021,18.2,32846,75612,34895,121,1155,-158,34,1441,-715,97662,1409,904,2007,65731,174110,14184,3616,2.4,NPE,"Ratio of non-performing exposures to exposures, %**"
OP Financial Group,2022,17.4,35004,77121,37438,121,1126,-115,211,1843,-634,99180,1618,1023,1981,72327,175516,14335,3426,2.34,NPE,"Ratio of non-performing exposures to exposures, %"
OP Financial Group,2023,19.2,19755,76656,37511,130,1038,-269,2609,5480,-882,99517,2871,1642,1716,73495,160391,16262,4775,2.94,NPE,"Ratio of non-performing exposures to exposures, % **"
OP Financial Group,2024,21.5,18110,77653,33198,128,946,-96,3316,6112,-820,98917,2796,1987,2262,71756,161168,18110,4844,2.64,NPE,"Ratio of non-performing exposures to exposures, %"
OTP Bank,2015,13.3,1878960,7984579,239376,43559,257431,318683,251998,802428,-1013620,6373674,550430,63171,465516,6576263,10718848,1233659,754912,16.6,Other,ratio of the more than 90 days past due to the above 360 days past due loans compared to the gross loan portfolio
OTP Bank,2016,13.5,1625357,8540583,146900,49244,272235,93473,169962,689691,-944273,6639754,519729,202452,456098,6730463,11307665,1420649,736315,13.9,Other,ratio of the more than 90 days past due to the above 360 days past due loans compared to the gross loan portfolio
OTP Bank,2017,12.7,1198045,10233471,250320,54413,315606,-40848,112759,666515,-738796,7726630,553756,281339,499450,8389925,13190228,1640055,804945,9.01,Other,ratio of the more than 90 days past due to the above 360 days past due loans compared to the gross loan portfolio
OTP Bank,2018,13.6,1547272,11285085,417966,60405,338081,-39287,133235,757958,-685364,8751957,624723,318322,573281,9464463,14590288,1826657,881726,3.74,Other,NA
OTP Bank,2019,13.9,1784378,15171308,393167,72903,413348,-49120,197095,894144,-706907,12553167,697049,412582,641217,14262200,20121767,2291288,1077728,4.23,Other,NA
OTP Bank,2020,15.4,2432312,17890863,464213,88896,486529,-200315,195216,977887,-829543,12504385,782671,259636,707667,15046888,23335841,2537112,1169920,9.01,Other,NA
OTP Bank,2021,17.5,2556035,21068644,436325,111939,554113,-47645,243149,1117459,-851994,14345177,874310,456428,747612,16691313,27553384,3036766,1312092,3.74,Other,NA
OTP Bank,2022,16.1,4221392,25188805,870682,139216,739576,-210458,912709,2004023,-966360,17060818,1091314,347081,975148,20405325,32804210,3322312,1661699,5.48,Stage3,ratio of Stage 3 + POCI loans compared to gross loans
OTP Bank,2023,16.6,7125049,28332431,2095548,169316,861309,-79281,1561558,2948264,-894031,18570564,1386706,990459,1074337,23700275,39609144,4094793,2243109,4.58,Stage3,Derived from Stage 3 + POCI loans / Loans at amortized cost gross total
OTP Bank,2024,18.9,6079012,31658189,2593124,203332,1045987,-109142,1336782,3082122,-917734,21208115,1745340,1076140,1212774,25576775,43419128,5120013,2643575,4.23,Stage3,Derived from Stage 3 + POCI loans / Loans at amortized cost gross total
PKO Bank Polski SA Group,2015,13.27,13743.864,195758.461,9432.973,747.702,3598.33,-1475.918,2629.168,9657.763,-8287.209,198700.917,7028.595,2601.253,6036.27,NA,266939.919,30264.913,10664.823,6.6,Impaired,share of impaired loans
PKO Bank Polski SA Group,2016,14.51,13325,205066,14493,886,3579,-1622,2209,9964,-8002,208609,7754,2876,5590,NA,285572,32568,11790,5.9,Impaired,share of impaired loans
PKO Bank Polski SA Group,2017,NA,17810,218800,23932,949,3918,-1620,2313,10919,-7823,213452,8606,3109,5784,NA,296912,36256,12563,5.5,Impaired,Share of impaired loans
PKO Bank Polski SA Group,2018,17.54,22925,242816,28627,1029,4042,-1373,2241,11594,-8204,223115,9353,3742,5905,NA,324255,39101,13347,4.9,Impaired,Share of impaired exposures
PKO Bank Polski SA Group,2019,17.16,14677,258199,31148,1083,4130,-1147,2481,12760,-7221,230365,10279,4032,5611,NA,348044,41578,14670,4.1,Impaired,Share of impaired loans
PKO Bank Polski SA Group,2020,16.99,7474,282356,32098,1049,4953,-2174,1455,11801,-8824,225414,10346,-2561,5983,NA,376966,39911,14447,4.38,Stage3,"Note: This calculation is based on the amortized cost portfolio, as Stage 3 data for fair value loans was not separately reported as a ""gross"" figure for 2020"
PKO Bank Polski SA Group,2021,17.03,11587,322296,23872,1165,5596,-1309,686,10568,-8688,238430,9882,4873,6174,NA,418086,37693,15090,3.91,Stage3,9 332 (Stage 3) ÷ 238 430 (Total Gross) = 0.03913
PKO Bank Polski SA Group,2022,16.65,15917,339582,15510,1564,6515,-1501,8327,20140,-9748,237912,11813,3333,7850,NA,430683,35435,17272,3.74,Stage3,Calculated: Stage 3 / Total Gross
PKO Bank Polski SA Group,2023,17.77,17813,399193,17201,1675,6301,-1265,12899,31217,-10206,255984,18318,5505,7635,NA,501516,45227,24132,3.52,Stage3,Calculated: Stage 3 / Total Gross (amortized cost)
PKO Bank Polski SA Group,2024,17.39,23494,419778,23457,1667,6787,-966,9986,32139,-9185,273173,22153,9304,8487,NA,525225,52370,28736,3.82,Stage3,Calculated: (Stage 3 + POCI) / Total Gross
SEB,2015,18.8,101429,883785,639444,5463,22340,-883,18788,37726,-4878,1416806,18938,16581,22187,570840,2495964,142798,44148,0.6,NPL,NPL per cent of lending
SEB,2016,18.8,151078,962028,668880,5872,22500,-993,16464,35202,-4789,1508335,18738,10618,27761,609959,2620646,140976,43771,0.5,NPL,NPL per cent of lending
SEB,2017,19.4,177222,1004721,614033,5472,23196,-808,16580,36472,-4476,1523995,19893,16244,21936,610819,2559596,143925,45609,0.54,NPL,NPL per cent of lending
SEB,2018,17.6,209115,1111390,680670,5654,24018,-1166,18277,39299,-5813,1631237,21022,23134,21940,716498,2567516,148789,45868,0.5,Stage3,"Stage 3 loans/Total loans, gross, %"
SEB,2019,17.6,146691,1161485,858173,5467,24176,-2294,18772,41722,-6912,1706885,22950,20177,22945,745637,2856648,155700,50134,0.67,Stage3,"Stage 3 loans/Total loans, gross, %"
SEB,2020,21,323776,1371227,749502,4870,22933,-6118,12435,37578,-9512,1718057,25143,15746,22747,725560,3040432,171943,49717,0.87,Stage3,"Stage 3 loans / Total loans – gross, %"
SEB,2021,19.7,439344,1597449,730106,4987,26129,-510,6904,33225,-8786,1844932,26321,25423,23245,787490,3304230,193228,54614,0.53,Stage3,"Stage 3 loans / Total loans – gross, %"
SEB,2022,19,377966,1701687,795149,6064,27637,-2007,22707,56150,-8613,2058321,33443,26989,25044,859320,3532810,204523,64589,0.33,Stage3,"Stage 3 loans / Total loans – gross, %"
SEB,2023,19.1,312373,1611651,867838,6293,27962,-962,87868,135394,-7999,2043860,47526,38116,27449,891992,3608218,221775,80193,0.37,Stage3,"Stage 3 loans / Total loans – gross, %"
SEB,2024,17.6,271894,1680565,898841,7181,31285,886,104152,149403,-6480,2128343,45251,35865,30949,947860,3759028,231148,81887,0.47,Stage3,"Stage 3 loans / Total loans – gross, %"
Societe Generale,2015,NA,78565,379631,106412,3466,10144,-3065,16125,25431,NA,420036,9306,4395,16893,NA,1334391,62675,25639,NA,NA,NA
Societe Generale,2016,11.5,96186,421002,102202,3417,10116,-2091,15193,24660,NA,440874,9467,4338,16817,355478,1382241,65706,25298,5,Other,Gross doubtful loans ratio
Societe Generale,2017,11.4,114404,410633,103235,3417,10504,-1349,13263,23679,NA,437403,10416,2806,17838,353306,1275128,64037,23954,4.4,Other,Gross doubtful loans ratio
Societe Generale,2018,10.9,96585,416818,116339,3600,9124,-1005,11659,22678,-11435,458327,11019,4556,17931,376049,1309428,65809,25205,3.6,Other,Gross doubtful loans ratio
Societe Generale,2019,12.7,102311,418612,125168,3811,9068,-1278,12527,23712,-10727,460587,11185,3946,17727,345010,1356303,68570,24671,3.2,Other,GROSS DOUBTFUL LOANS RATIO
Societe Generale,2020,13.4,168179,456059,138957,3612,8529,-3306,10248,20721,-11601,459933,10473,196,16714,352400,1461952,66979,22113,3.3,Other,gross doubtful outstandings ratio
Societe Generale,2021,13.6,179969,509133,135324,3842,9162,-700,9872,20590,-11357,507917,10718,6338,17590,363371,1464449,70863,25798,2.9,Other,GROUP GROSS NON PERFORMING LOANS RATIO*
Societe Generale,2022,13.49,207013,530764,133176,4161,9335,-1647,17552,28838,-10634,517479,11286,2947,18630,360464,1486818,72782,28059,2.8,Other,GROUP GROSS NON PERFORMING LOANS RATIO*
Societe Generale,2023,13.1,223048,541677,160506,4475,10063,-1025,42777,53087,-10070,495666,10310,3449,18524,388800,1554045,76247,25104,2.9,Other,Group Gross non performing loans ratio (2)
Societe Generale,2024,13.3,201680,531675,162200,4591,10817,-1530,45127,55019,-8445,463143,9892,5129,18472,390000,1573545,79588,26788,2.81,NPL,The gross non-performing loan ratio
SpareBank 1 SMN,2015,13.6,3270,64090,35154,135,1245,169,2159,4031,-559,93974,1872,1406,1931,89465,131914,13904,3876,0.47,Other,Total problem loans (defaulted and doubtful) [as %] of gross loans
SpareBank 1 SMN,2016,14.9,315,67168,36317,133,1251,516,1714,3597,-971,102325,1883,1647,2003,88788,138080,15299,4506,1.23,Other,Total problem loans (defaulted and doubtful) [as %] of gross outstanding loans
SpareBank 1 SMN,2017,14.9,3313,76476,42194,168,1390,341,1600,3825,-1112,112071,2225,1828,2369,93474,153254,17510,4989,0.99,Other,Total problem loans (defaulted and doubtful) [as %] of gross outstanding loans
SpareBank 1 SMN,2018,14.6,NA,80615,45537,168,1387,263,1655,4057,-744,120473,2403,2090,2624,101168,160704,18686,5337,1,Other,Overall problem loans (defaulted and doubtful) [as %] of gross outstanding loans
SpareBank 1 SMN,2019,17.2,761,85917,47882,193,1437,299,1939,4626,-998,125717,2687,2563,2797,92036,166662,20420,6178,1.26,Other,Overall problem loans (defaulted and doubtful) [as %] of gross outstanding loans
SpareBank 1 SMN,2020,18.3,2764,97529,51098,207,1510,951,1439,4197,-1517,134648,2759,1978,2952,93096,187912,21310,6281,1.23,Other,Overall problem loans (defaulted and doubtful) [as %] of gross outstanding loans
SpareBank 1 SMN,2021,18,1252,111286,40332,207,1583,161,1120,3916,-1410,147301,2796,2902,2993,98664,198845,23241,6655,1.68,Stage3,"Problem loans (Stage 3) [as %] of gross outstanding loans, including loans sold"
SpareBank 1 SMN,2022,18.9,1171,122010,47474,186,1446,-7,2588,5927,1121,152629,3339,2785,2443,104716,223312,25009,5760,0.97,Stage3,Problem loans (Stage 3) [as %] of gross outstanding loans; Loans and advances to customers at Stage 3 in percentage of gross loans
SpareBank 1 SMN,2023,18.8,1172,132888,45830,199,1370,14,6631,11262,-943,169862,4632,3688,3017,114633,232717,28597,7515,0.88,Stage3,"Problem loans (Stage 3) [as %] of gross utstanding loans, including loans sold"
SpareBank 1 SMN,2024,18.3,654,140897,56074,224,1611,176,8187,13560,848,180102,5373,4591,3300,122622,247699,30523,9123,0.89,Stage3,"Loans in Stage 3 [as %] of gross outstanding loans, including loans sold to the captive mortgage companies"
SpareBank 1 SR-Bank,2015,13.3,931,89444,71979,78,1605,420,3159,5752,833,155190,2593,1746,1863,119124,192049,16914,4429,0.55,Other,Non-performing commitments as % of gross loans
SpareBank 1 SR-Bank,2016,14.7,1079,85914,79183,72,1511,778,2692,5563,1266,157638,2871,1755,2032,116651,193408,18288,4968,0.68,Other,Non-performing commitments as a % of gross loans
SpareBank 1 SR-Bank,2017,15.1,207,95384,90497,79,1597,543,2585,5747,1317,172554,3162,2086,2167,120186,216618,19889,5320,0.32,Other,Non-performing commitments as a % of gross loans
SpareBank 1 SR-Bank,2018,14.72,717,98814,103485,87,1519,324,2835,6274,1227,192105,3439,2296,2229,130869,234061,21585,5445,1.53,Other,Loans in Band 3 as a % of gross loans
SpareBank 1 SR-Bank,2019,17,104,103106,116164,111,1516,235,3756,7743,1426,207114,3987,3124,2478,109513,255895,24834,6530,1.56,Stage3,Loans in Stage 3 as a % of gross loans
SpareBank 1 SR-Bank,2020,18.3,68,118170,127163,111,1501,2.03,2811,6953,2215,219181,4142,1.59,2386,121262,287049,26393,6237,1.9,Stage3,Gross loans and financial liabilities classified as Stage 3
SpareBank 1 SR-Bank,2021,17.4,78,137664,122276,90,1801,192,2196,6186,1721,230299,3.99,3156,2714,127112,304402,27179,6744,1.46,Stage3,Gross loans and financial liabilities classified as Stage 3
SpareBank 1 SR-Bank,2022,17.42,76,148100,135353,87,1836,5,4883,9399,1685,252957,4516,3378,2825,127529,345931,28889,7042,1.35,Stage3,Loans and financial liabilities in Stage 3 as a % of gross loans and financial liabilities.
SpareBank 1 SR-Bank,2023,17.61,88,149076,155.37,111,2.04,-232,12378,18515,1244,272001,6136,4475,3299,146371,362186,33561,8745,1.01,Stage3,Loans and financial liabilities in Stage 3 as a % of gross loans and financial commitments
SpareBank 1 SR-Bank,2024,18.01,119,204006,203389,116,2392,387,16298,23815,-1572,375678,7517,5193,3936,210950,479336,52637,10739,0.6,Stage3,Loans and financial liabilities in Stage 3 as a % of gross loans and financial commitments
Svenska Handelsbanken,2015,21.2,202630,753855,1245367,1655,10975,-1597,15312,43052,-4816,1871283,27740,16343,18271,473132,2522133,128268,40336,0.21,Impaired,"Proportion of impaired loans, %"
Svenska Handelsbanken,2016,25.1,199362,829336,1261765,1624,10780,-1724,12007,39950,-4643,1968265,27943,16245,18438,458787,2627580,136381,40763,0.16,Impaired,"Proportion of impaired loans, %"
Svenska Handelsbanken,2017,22.7,226314,941967,1276595,1821,11539,-1683,12326,42092,-5159,2070920,27766,16102,18980,509032,2766977,141604,41674,0.13,Impaired,"Proportion of impaired loans, %"
Svenska Handelsbanken,2018,16.8,317217,1008487,1394647,1936,12183,-881,17885,49171,-3801,2192893,31286,17357,20890,707579,2978174,142261,43770,0.22,Stage3,"Proportion of loans in Stage 3, %"
Svenska Handelsbanken,2019,18.5,327958,1117825,1384961,2065,12762,-1045,22260,54395,-4568,2297171,32135,16925,21743,716462,3069667,159832,44564,0.22,Stage3,"Proportion of loans in Stage 3, %"
Svenska Handelsbanken,2020,20.3,397642,1229763,1310737,1835,12621,-781,13902,45508,-3457,2273069,31606,15588,23334,721403,3135288,171473,44248,0.21,Stage3,"Proportion of loans in Stage 3, %"
Svenska Handelsbanken,2021,19.4,291584,1286637,1353768,1446,12904,-43,6441,35832,-3178,2417007,29391,19543,19843,773158,3346764,181731,43347,0.22,Stage3,"Proportion of loans in Stage 3, %"
Svenska Handelsbanken,2022,19.6,475868,1325061,1474801,1296,12399,-47,30797,67407,-2454,2471778,36610,21470,21296,810144,3453716,196030,50249,0.18,Stage3,"Proportion of loans in Stage 3, %"
Svenska Handelsbanken,2023,18.8,476171,1298480,1523481,1421,12559,-141,112227,159805,-2395,2436612,47578,29114,23182,836790,3537792,205085,62249,0.24,Stage3,Proportion of loans in Stage 3
Svenska Handelsbanken,2024,18.8,529995,1310739,1550027,1526,13252,601,124284,171125,-1608,2373695,46841,27456,25209,825457,3539173,210027,62345,0.31,Stage3,Proportion of loans in Stage 3
Swedbank,2015,24.1,186312,748271,826535,5384,16583,594,11990,34983,3381,1417322,22993,15727,16333,389098,2148855,123342,37624,0.4,Impaired,"Share of impaired loans, gross, %"
Swedbank,2016,25,121347,792924,841673,4678,16011,1367,9256,33728,3755,1511002,23664,19539,16441,394135,2154203,129705,41635,0.52,Impaired,"Share of impaired loans, gross, %"
Swedbank,2017,24.6,200371,855609,844204,5336,17366,1285,8382,34494,3886,1539084,24595,19350,16415,408351,2212636,133572,42438,0.55,Impaired,"Share of impaired loans, gross, %"
Swedbank,2018,16.3,163161,920750,804360,6131,18967,521,9600,37045,6023,1593511,25228,21162,16835,637882,2246092,137609,44222,0.69,Stage3,"Share of Stage 3 loans, gross, %"
Swedbank,2019,17,195286,954013,855754,6488,19472,1469,9381,35370,6679,1612154,25989,19697,19984,649237,2408228,138633,45960,0.82,Stage3,"Share of Stage 3 loans, gross, %"
Swedbank,2020,17.5,293811,1148240,732814,6706,19476,4334,6938,33791,8178,1649080,26853,12929,24560,689594,2594642,155193,45676,0.62,Stage3,"Share of Stage 3 loans, gross, %"
Swedbank,2021,18.3,360153,1265783,735917,7554,22407,170,4107,30364,5666,1708220,26257,20871,20847,707753,2750617,161696,46890,0.37,Stage3,"Share of Stage 3 loans, gross, %"
Swedbank,2022,17.8,365992,1305948,784206,8160,22383,1479,12141,45298,6023,1848834,33157,21877,21415,809438,2854876,176092,53221,0.31,Stage3,"Share of Stage 3 loans, gross, %"
Swedbank,2023,19,252994,1234262,728548,8732,23820,1674,51438,102372,7132,1819043,50933,34128,24100,847121,2855519,198790,73057,0.43,Stage3,"Share of Stage 3 loans, gross, %"
Swedbank,2024,19.8,325604,1288609,758199,9352,26067,-268,61353,110621,6250,1805964,49267,34869,25376,871902,3009697,218901,74104,0.65,Stage3,"Share of Stage 3 loans, gross, %"
UniCredit,2015,10.59,10303.334,449790.439,134477.901,1599.083,9417.551,-4081.168,7859.847,19518.305,43256.831,517255.352,11658.458,1694.24,15520.616,390598.859,860433.441,50086.743,22405,15.42,Other,as a percentage of total loans
UniCredit,2016,8.15,13857.831,452419.189,115435.5,1193.19,6778.422,-11929.784,5657.789,15964.8,33538.134,478145.616,10307.011,-11790.094,16842.13,387135.931,859532.774,39335.55,18056.796,11.78,Other,as a percentage of total loans
