Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label
Banco Comercial Português,2018,12.1,2753.839,52664.687,1686.087,144.471,828.49,-465.468,466.108,1889.739,-2851.906,48412.832,1423.631,301.065,1027.213,41883.032,75923.049,6963.906,2059.433,6.1,NPL,NPL > 90 days / Credit to clients (gross)
Banco Comercial Português,2019,12.2,5166.551,59127.005,1594.724,160.859,864.356,-390.308,442.917,1991.445,-2417.022,52264.851,1548.528,302.003,1169.472,45031.478,81643.408,7381.254,2338.384,2.7,NPL,NPL > 90 days / Gross credit
Banco Comercial Português,2020,12.2,5303.864,63000.829,1388.849,152.874,855.53,-513.412,272.408,1805.583,-2036.522,54157.337,1533.175,183.012,1119.344,46413.048,85813.421,7386.27,2244.083,3.1,NPL,Non-performing loans (NPL) > 90 days / Loans to customers (gross)
Banco Comercial Português,2021,11.7,7796.299,69560,2188.363,147.541,875.264,-352.833,120.523,1709.124,-1867.365,58231,1588.601,138.082,1115.598,45932.529,92904.812,7062.057,2274.895,4.8,NPL,NPL ratio (Loans and Advances)
Banco Comercial Português,2022,12.5,6022.001,75906.814,2823.093,171.866,943.774,-300.829,587.463,2737.235,-1515,57713,2149.772,197.386,1073.018,43106,89876.743,5936.767,2788.614,1.3,NPL,NPL > 90 days / Loans to customers (gross)
Banco Comercial Português,2023,15.4,4545.526,79215,4000,172.638,944.311,-247.992,1545.565,4371.289,-1582.65,54887.809,2825.724,856.05,1162.551,39725,94379.778,7299.498,3683.58,1.3,NPL,NPL > 90 days / Loans to customers (gross)
Banco Comercial Português,2024,16.5,5589.03,81992.851,4252.826,187.526,996.066,-182.4,1884.981,4715.834,-1486.733,55393.791,2830.853,906.378,1307.2,40490,105518.849,7931.659,3574.6,1.1,NPL,NPL > 90 days / Loans to customers (gross)
Banco Santander,2015,10.05,81329,683122,205029,3009,13042,-10108,24386,57198,27121,817365,32189,5966,21571,583893,1340260,98753,45272,4.36,NPL,NPL ratio
Banco Santander,2016,10.55,76454,691111,228869,2763,12943,-9626,24067,55156,24835,814863,31089,6204,21088,588088,1339125,102699,44232,3.93,NPL,NPL ratio
Banco Santander,2017,10.84,110995,777730,217966,2982,14579,-9259,21745,56041,23934,872849,34296,6619,22918,605064,1444305,106833,48355,4.08,NPL,NPL ratio
Banco Santander,2018,11.3,113663,780496,246619,3179,14664,-8986,19984,54325,23307,906228,34341,7810,22779,592319,1459271,107361,48424,3.73,NPL,NPL ratio
Banco Santander,2019,11.65,101067,824365,208455,3570,15349,-9352,21502,56785,22242,964460,35283,6515,23280,605244,1522695,110659,49229,3.32,NPL,NPL ratio
Banco Santander,2020,12.34,153839,849310,235269,3198,13213,-12382,13747,45741,24272,939794,31994,-8771,21130,562580,1508250,91322,44279,3.21,NPL,NPL ratio
Banco Santander,2021,12.12,210689,918344,246163,3310,13812,-7407,13093,46463,23698,995646,33370,8124,21415,579478,1595835,97053,46404,3.16,NPL,NPL ratio
Banco Santander,2022,12.04,223073,1025401,280339,4077,15867,-10863,32811,71430,22684,1058688,38619,9605,23903,609702,1734659,97585,52117,3.08,NPL,NPL ratio
Banco Santander,2023,12.3,220342,1047169,308579,4264,16321,-12956,61991,105252,22788,1059137,43261,11076,25425,623652,1797062,104241,57423,3.14,NPL,NPL ratio
Banco Santander,2024,12.8,192208,1055936,325521,4592,17602,-12644,66067,112735,22125,1076194,46668,12574,26034,624477,1837081,107327,61876,3.05,NPL,NPL ratio
Bank of Cyprus,2015,14,1422.602,14180.681,0.712,9.1,162.557,-959,279.665,1122.105,4193.433,22592.475,842.44,-454.302,416,19666,23270.501,3077.331,1040,62,NPE,Non-performing exposures (NPEs)... accounting for % of gross loans
Bank of Cyprus,2016,14.5,1506.396,16509.741,850.014,18.216,184.874,-360.311,200.4,859.219,3552.242,20130.095,686.182,67.231,395,18865.224,22171.935,3106.105,963,55,NPE,Non-performing exposures (NPEs) ... accounting for % of gross loans
Bank of Cyprus,2017,12.7,3393.934,17849.919,930,10.179,190.577,-1018.357,228.291,811.031,4152.261,18754.715,582.74,-554.325,555.072,17260,23598.6,2616.708,861,47,NPE,NPE ratio
Bank of Cyprus,2018,12.1,4610.491,16843.558,830,23.636,178.907,-300.634,190.066,609.119,3852.218,15900.427,419.053,-102.033,399.696,15373.359,22075.271,2367.328,755.79,46.7,NPE,Ratio of NPE/Gross loans (%)
Bank of Cyprus,2019,14.8,5060.042,16691.531,0,9.821,171.715,-263.322,142.201,508.177,2096.18,12821.838,365.976,-67.738,592.944,12890.003,21122.822,2288.627,687.94,30.3,NPE,Ratio of NPE/Gross loans (%)
Bank of Cyprus,2020,14.8,5653.315,16533.212,994.694,6.417,151.091,-317.251,106.711,436.709,1901.978,12261.404,329.998,-174.783,423.268,11636.375,21514.131,2075.054,570.638,25.2,NPE,Ratio of NPE/Gross loans (%)
Bank of Cyprus,2021,15.1,9230.883,17530.883,2969.6,8.416,180.212,-46.144,92.249,388.549,791.83,10856.66,296.3,31.877,422.694,10694.229,24962.697,2081.227,553.891,12.4,NPE,Ratio of NPE/Gross loans (%)
Bank of Cyprus,2022,15.2,9567.258,18998.319,1976.674,10.299,202.583,-126,80.661,450.968,178.442,10217.453,370.307,71.106,510,10114.215,25434.615,2100.67,709,4,NPE,NPE ratio
Bank of Cyprus,2023,17.4,9614.502,19336.915,2043.868,7.32,188.343,-62.749,151.452,943.669,267.232,10069.828,792.217,487.207,383.486,10341.138,26628.577,2488.341,1092.264,3.6,NPE,NPE ratio
Bank of Cyprus,2024,19.2,7600.726,20519.276,989.435,7.475,184.418,-30.368,188.619,1010.083,254.412,10374.056,821.464,508.188,405.826,10834,26483.592,2830.068,1094.164,2.5,Other,Ratio of NPEs/Gross loans (%)
Bank of Ireland Group,2015,11.3,6603,80164,13243,242,561,-296,825,3269,-5886,90595,2444,947,1821,53300,130960,9113,4804,13.2,NPL,Non-performing loans as % of advances
Bank of Ireland Group,2016,12.3,5192,75167,10697,222,559,-178,598,2861,-3885,82362,2263,793,1897,50800,123129,9402,4672,9.6,NPL,Non-performing loans as % of advances
Bank of Ireland Group,2017,13.8,7379,75869,8390,217,543,-15,394,2546,-2359,78487,2152,692,2080,45000,122554,9667,4603,8.3,NPE,Non-performing exposures as % of advances
Bank of Ireland Group,2018,13.4,6033,78899,11000,224,521,42,379,2513,-1728,78430,2134,675,1941,47800,123669,10051,3747,6.3,NPE,NPE ratio
Bank of Ireland Group,2019,13.8,8325,83968,11000,205,510,-214,370,2525,-1308,80543,2155,448,2065,49900,131883,10433,5557,4.4,NPE,NPE ratio
Bank of Ireland Group,2020,13.4,10953,88637,6367,172,428,-1133,481,2570,-2242,78462,2089,-707,2036,48000,133754,9621,4335,5.7,NPE,NPE ratio
Bank of Ireland Group,2021,16,31360,92754,8483,179,448,194,543,2770,-1958,77878,2227,1055,1859,46200,155268,11338,6078,5.5,NPE,NPE ratio
Bank of Ireland Group,2022,15.4,36855,99200,7774,268,579,-187,663,3150,-1295,73039,2487,897,2012,47500,151324,11932,3609,3.6,Other,NPEs as % of advances
Bank of Ireland Group,2023,14.3,31843,100183,12000,219,673,-425,2622,6329,-1222,80746,3707,1601,2094,52500,155708,12561,4460,3.1,NPE,NPE ratio %
Bank of Ireland Group,2024,14.6,32436,103069,11530,212,729,-107,3141,6742,-1028,83381,3601,1531,2435,55300,161813,13009,4413,2.2,NPE,NPE ratio %
Belfius Bank,2015,14.9,576.276,68072.328,27777.552,104.668,601.668,-92.665,2648.756,4672.441,NA,88716.714,2023.685,506.076,1396.451,47026,176962.124,8659.717,2183.862,2.29,Other,Asset quality ratio(2)
Belfius Bank,2016,16.1,5111.05,74138.507,23981.43,117.639,625.109,-115.969,2039.969,3983.201,NA,91291.721,1943.232,535.229,1366.281,46554,176720.926,9011.72,2259.271,2.54,Other,Asset quality ratio(2)
Belfius Bank,2017,15.9,10236.669,76274.483,22027.063,168.809,721.472,-33.013,1609.627,3561.1,-1534.216,91519.456,1951.473,605.502,1368.608,50615,167959.201,9521.408,2354.682,1.99,Other,Asset quality ratio(2)
Belfius Bank,2018,16,8314.303,79661.31,26686.872,178.71,734.366,-66.397,1527.831,3399.369,-1483.775,90786.221,1871.539,649.028,1425.792,51039,164165.152,9959.623,2361.189,2.05,Other,Asset quality ratio(3)
Belfius Bank,2019,15.6,6715.928,85449.91,27654.505,176.873,756.445,-111.438,1541.463,3441.636,-1515.89,94907,1900.173,667.496,1452.379,56398,172439.465,10506,2488.587,1.96,Other,Asset quality ratio(2)
Belfius Bank,2020,17.11,25433.799,95268.309,24402.198,169.319,810.261,-453.133,1361.293,3352.799,-1827.928,98639.836,1991.506,531.615,1464.919,59322,187991.433,10733.397,2613.649,2.02,Other,Asset quality ratio
Belfius Bank,2021,16.37,31640.347,104343.587,23145.353,184.745,942.249,1.361,1356.009,3357.376,-1765.512,103306.489,2001.367,934.964,1477.125,65095,192150.543,11492.748,2703.276,1.95,Other,Asset quality ratio
Belfius Bank,2022,16.55,27295.434,108405.724,25928.567,192.643,982.858,-105.689,1640.45,3720.738,-1802.342,111146,2080.288,974.711,1620.005,64796,179465.679,11620.652,2982.353,1.82,Other,Asset quality ratio(2)
Belfius Bank,2023,15.95,20487.14,104000.435,36017.933,201.362,980.274,-109.211,4442.285,6868.486,1836,115778,2426.201,1114.538,1538.166,69504,179179.352,12219.362,3140.888,1.95,Other,Asset quality ratio(2)
Belfius Bank,2024,15.39,22259.583,108662.704,41453.201,222.753,1053.855,-133.294,5795.913,8135.464,-1788.617,125413,2339.551,1126.872,1612.971,75113.7,187457.435,12833.333,3259.288,1.92,Other,Asset quality ratio
CaixaBank,2015,12.9,5771.567,186107.039,32414.786,143.395,2156.832,-2516,4020.418,8373.068,9171.536,211903.981,4352.65,816.502,4606,143311.653,344255.475,25204.55,7726,7.9,NPL,non-performing loan ratio (including non-performing contingent liabilities)
